creator,tiktok_video_id,date_posted,product,gross_revenue,sku_orders,cost,roi,video_title
ไม่ระบุ,7604845137251880213,2026-02-09,หนังสือ ยินดีต้อนรับและขอบคุณที่กลับมา,0.0,0,1.68,0.0,หนังสือ ยินดีต้อนรับและขอบคุณที่กลับมา
ไม่ระบุ,7604837436681686293,2026-02-09,[ขายดี] หนังสือ GHOSTLY REMAINS ปลดพันธนาการดวงวิญญาณหลังความตาย by หมึกซึม,0.0,0,0.0,0.0,[ขายดี] หนังสือ GHOSTLY REMAINS ปลดพันธนาการดวงวิญญาณหลังความตาย by หมึกซึม
ไม่ระบุ,7604833609475788052,2026-02-09,หนังสือ ยินดีต้อนรับและขอบคุณที่กลับมา,0.0,0,0.39,0.0,หนังสือ ยินดีต้อนรับและขอบคุณที่กลับมา
ไม่ระบุ,7604808991083957525,2026-02-09,หนังสือ เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก (Helmet Girl),0.0,0,5.76,0.0,BOXSET เมื่อโลกทั้งใบซ่อนอยู่ใต้หมวกกันน็อก (Helmet Girl)
ไม่ระบุ,7604800266030042389,2026-02-09,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),0.0,0,9.75,0.0,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน)
ริว,7603682002381835540,2026-02-06,หนังสือ The Witches' Club ชมรมลับเปลี่ยนชีวิต,0.0,0,0.0,0.0,"ขอโทษที่ทำให้ผิดหวัง 🙏  เพราะหนังสือฮีลใจเล่มนี้ขายดีถล่มทลาย 🎉 . 💢 ยอดขาย 10,000 เล่ม ภายใน 1 เดือน ✨  กับหนังสือ The Witches' Club ชมรมลับเปลี่ยนชีวิต 🪄 .  🔮คุณจะค้นพบเวทมนตร์  50 กฎลับ  สู่ความสุขที่คุณปรารถนา พร้อมทำให้ปัญมลายหายไป   . 📓 The Witches' Club ชมรมลับเปลี่ยนชีวิต ✒️ เขียนโดยปลายปากกา “MAY-I”    . พลังวิเศษที่คุณจะได้เมื่ออ่านเล่มนี้จบ 📜   🐈‍⬛ ได้พลังแนวคิด ในการรับมือกับปัญหาในชีวิต 🐈‍⬛ ได้พลังแก้ไขข้อผิดพลาด และเรียนรู้ที่จะรักตัวเอง  🪄 ได้พลังการปรับ Mindset และเข้าใจชีวิตมากขึ้น   🐈‍⬛ ได้พลังเปลี่ยนวันร้าย ๆ ให้มีความสุขในทุกวัน  🐈‍⬛ ได้พลังค้นพบความสุขที่แท้จริงจากตัวเราเอง  🔮 มาพร้อมโควทคำคม ฝึกภาษาอังกฤษสอนใจ  . 📍 แถมฟรี! 🏷️ ที่คั่นแมวยืน 1 ใบ   🏷️ ที่คั่นแมวถือไม้กวาด 1 ใบ      📰 สติกเกอร์แมวนำโชค 2 แผ่น   . 📌 สนใจสั่งซื้อกดตะกร้าได้เลย 📲 https://m.me/opendurianhowto . 📖 ช่องทางเพิ่มพลังบวก  Shopee : https://s.shopee.co.th/30dbpU8MRZ IG : https://www.instagram.com/opendurianhowto/ TikTok : www.tiktok.com/@opendurianhowto . . #opendurianhowto #OpenDurianBooks #TheWitchesClubชมรมลับเปลี่ยนชีวิต #MAYI #เมไอ"
ริว,7603678960890842389,2026-02-06,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),0.0,0,0.0,0.0,แม่หวง ‼️ ไม่อยากให้ “ลูกมีแฟน”  . 😢 ทำให้แม่ไม่พอใจ จนลูกไม่กล้ามีแฟน  คนเป็นลูกเลย “รู้สึกผิด” ที่ทำให้แม่ไม่มีความสุข 🩹 . 💬 หนึ่งใน Topic สำคัญจากบทสัมภาษณ์ โดย ‘คุณหมอทานตะวัน’ 🖋️  หรือผศ.พญ.ทานตะวัน อวิรุทธ์วรกุล . 🩺 ผศ.ด้านจิตเวชศาสตร์ คณะแพทยศาสตร์ โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล ที่มีประสบการณ์มายาวนานกว่า 20 ปี  . 🩵 เจ้าของเพจ ‘ยิ่งโตยิ่งสุขโดย พญ.ทานตะวัน’ สู่แรงบันดาลใจในการเขียนหนังสือเล่มใหม่ล่าสุด ✨  หนังสือ “กับดักความรู้สึกผิด” 📖 . 🗒️ ผ่านการรวบรวมเรื่องราวสำคัญกว่า 7 บท  🗒️ สอดแทรก Case Studies ตัวอย่างจริงให้เราเข้าใจ 🗒️ เนื้อหาอ่านง่าย มาพร้อมภาพประกอบการอธิบาย . ✔️ เข้าใจที่มาและเรียนรู้รับมือกับความรู้สึกผิดได้ถูกวิธี  ✔️ ปรับความคิดและดูแลใจเมื่อความรู้สึกผิดเกิดขึ้น ✔️ มีบทช่วยคนใกล้ตัวเมื่อเขาเผชิญกับความรู้สึกผิด  . ❤️‍🩹 หนังสือเล่มนี้ จะช่วยให้คุณได้เยียวยา  ก้าวข้ามความรู้สึกผิด ปลดล็อกปมในใจ เห็นประตูสู่การให้อภัย และเติบโตอย่างแท้จริง .  📖 หนังสือ “กับดักความรู้สึกผิด” 📍 ราคาเพียง 359 บาท (ปกติ 399 บาท) ⚠️ แถมฟรี ที่คั่นหนังสือ 1 ชิ้น  . 📌 สนใจสั่งซื้อกดตะกร้าได้เลยค่ะ  #กับดักความรู้สึกผิด #TheGuiltTrap #หมอทานตะวัน #opendurianhowto #opendurianbooks
ริว,7603318413070535956,2026-02-05,หนังสือ Ghostly Brews ยินดีบริการดวงวิญญาณหลังเที่ยงคืน by หมึกซึม,0.0,0,0.0,0.0,หนังสือฮีลใจชนะรางวัลแห่งปี 🎉 📓 Ghostly Brews  ยินดีบริการดวงวิญญาณหลังเที่ยงคืน . 🖋️ ผลงานจากนักเขียน ‘หมึกซึม’  🏆 ซึ่งได้รับรางวัลหนังสือแห่งปี 2 รายการ จาก Naiin Readers’ Award 2025 มี 2 ดังนี้ . • รางวัลอันดับ 3 ที่สุดของสร้างแรงบันดาลใจแห่งปี • รางวัลอันดับ 4 ที่สุดของยอดเยี่ยมแห่งปี . เนื้อหาในเล่มนี้ จะทำให้คุณได้ฟังเรื่องเล่า ของดวงวิญญาณ ที่จะทำให้คนอย่างเราคิดได้  และหันกลับมามองตัวเอง ว่าคุณมีค่ามากแค่ไหน . 🖋️ ถ่ายทอดผ่านลายเส้น อันเป็นเอกลักษณ์ 🖋️ ฮีลใจในรูปแบบการ์ตูน Comic ตัวละครสีขาวดำ  . 📓 สิ่งที่หนังสือเล่มนี้ต้องการพูดถึงไม่ใช่ความตาย  แต่คือความรู้สึกที่หล่นหายระหว่างทาง  . สิ่งที่ได้รับเมื่ออ่านเล่มจบ ☽ 🌑 กลับมาเห็นคุณค่าของเรื่องที่เคยมองข้ามไป  🌘 สัมผัสกับการ ”หยุดฟังตัวเอง“ อีกครั้ง  🌗 ทบทวนความรู้สึกที่อาจเคยถูกละเลย  🌖 โอบกอดความสุขด้อย่างสมดุล 🌕 พบแสงสว่างที่แท้จริงของการมีอยู่  . คำเตือน! เล่มนี้อาจทำให้คุณเสียน้ำตา  แต่จะเป็นน้ำตาที่ทำให้คุณกลับมาเห็น “คุณค่าของตัวเอง”   . ☕️ ราคาเพียง 390 บาท ✨ 🐈‍⬛ ฟรี ที่คั่นหนังสือ 1 ชิ้น + โปสการ์ด 3 แผ่น   . 📌 สนใจสั่งซื้อกดตะกร้าได้เลย . #opendurianhowto #OpenDurianBooks #GhostlyBrews #หมึกซึม #books
มิ้น,7603312029696494868,2026-02-05,[ขายดี] หนังสือ GHOSTLY REMAINS ปลดพันธนาการดวงวิญญาณหลังความตาย by หมึกซึม,0.0,0,0.13,0.0,เมื่อลูกคนรวยขับรถชนแล้วหนี‼️ เมื่อความยุติธรรมกลับไม่มีอยู่จริง ในโลกของคนจน… อ่านต่อได้ที่หนังสือ 📖#ghostlyremains #หมึกซึม #opendurianhowto #รีวิวหนังสือ #books 
ไม่ระบุ,7603222818217577736,2026-02-07,หนังสือ My Last Book คู่มือจัดการทุกเรื่องสำคัญในชีวิตก่อนจากไป,0.0,0,0.0,0.0,💸ระวัง! มรดกเมียหลวง อาจตกไปอยู่ในมือของเมียน้อย เพียงเพราะไม่ได้ทำพินัยกรรมไว้!!! 🚨ป้องกันตั้งแต่ตอนนี้ด้วย #mylastbook   คู่มือจัดการมรดก ที่ช่วยปกป้องคนที่คุณรักได้อย่างครอบคลุม  #opendurianhowto
ริว,7602942585308597525,2026-02-04,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),0.0,0,16.06,0.0,ใช้คำว่า “อกตัญญู”  ควบคุมลูก…จนรู้สึกผิด 💬 .  ไม่ตอนแทน = อกตัญญู ไม่ยอมตามใจ = อกตัญญู   . 👩‍⚕️ บทสัมภาษณ์จาก ‘คุณหมอทานตะวัน’ (ผศ.พญ.ทานตะวัน อวิรุทธ์วรกุล) . 🩺 ผศ.ด้านจิตเวชศาสตร์ คณะแพทยศาสตร์ โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล ที่มีประสบการณ์มายาวนานกว่า 20 ปี     . 🩵 เจ้าของเพจ ‘ยิ่งโตยิ่งสุขโดย พญ.ทานตะวัน’ สู่แรงบันดาลใจในการเขียนหนังสือเล่มใหม่ล่าสุด ✨  หนังสือ “กับดักความรู้สึกผิด” 📖 .  ❤️‍🩹 หนังสือเล่มนี้ จะช่วยให้คุณได้เยียวยา  ก้าวข้ามความรู้สึกผิด ปลดล็อกปมในใจ เห็นประตูสู่การให้อภัย และเติบโตอย่างแท้จริง . ⚠️ ผ่านการรวบรวมเรื่องราวสำคัญกว่า 7 บท    • ความรู้สึกผิดหน้าตาเป็นอย่างไร • เหตุแห่งความรู้สึกผิด • อะไรจะเกิดขึ้นหากคุณไม่ได้รู้สึกผิด • ส่งสัญญาณเตือน ความรู้สึกผิดที่เป็นพิษ • วิธีดูแลใจเมื่อความรู้สึกผิดถาโถมใจ • เรื่องราวความรู้สึกผิด กับการปลดล็อกอย่างถูกวิธี • “ความจริงของชีวิต” กับ “ความรู้สึกผิด” . 🗒️ เนื้อหาอ่านง่าย มาพร้อมภาพประกอบการอธิบาย 🗒️ สอดแทรก Case Studies ตัวอย่างจริงให้เราเข้าใจ . สิ่งที่ได้รับเมื่ออ่านเล่มนี้ 💬    🚶‍➡️ ก้าวข้ามความรู้สึกผิดได้ผ่านแนวคิดจิตวิทยา 🚶‍➡️ เข้าใจที่มาและเรียนรู้รับมือกับความรู้สึกผิดได้ถูกวิธี  🚶‍➡️ ปรับความคิดและดูแลใจเมื่อความรู้สึกผิดเกิดขึ้น 🚶‍➡️ ปลดล็อกปมในใจ ก้าวสู่การให้อภัยและการเติบโต .  📖 หนังสือ “กับดักความรู้สึกผิด” ⚠️ แถมฟรี ที่คั่นหนังสือ 1 ชิ้น   #กับดักความรู้สึกผิด #TheGuiltTrap #หมอทานตะวัน #opendurianhowto #opendurianbooks 
ริว,7602568420537699605,2026-02-03,หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fighting the Demons in My Heart,0.0,0,0.0,0.0,อย่าคิดไปเองว่าเขาเป็นเพื่อน เพราะถ้าเขาไม่จริงใจ เขาก็ไม่ใช่เพื่อนเราตั้งแต่แรกแล้ว🫂 ความจริงใจเป็นเรื่องที่ควรมีในทุกความสัมพันธ์ อย่าไปเสียดายเวลาที่เคยสนิทกัน เราสนิทกับเขา แต่เขามองว่าเขาสนิทกับเราหรือเปล่า🥹 👹หนังสือปีศาจตัวนั้นคือฉันเอง 🌟หนังสือฮีลใจที่ได้รับรางวัลยอดเยี่ยมแห่งปีและเป็นไวรัลมาก ๆ เขาจะพูดถึงปีศาจในใจเราที่ทำให้เราตำหนิตัวเอง ด่าตัวเองและไม่รักตัวเอง หนังสือเขาจะพาเรามาสำรวจปีศาจเหล่านั้นทั้งเรื่องความรัก เพื่อน ครอบครัว และอีกเยอะมาก ด้วยคำพูดฮีลใจและอบอุ่นที่ทำให้ผู้อ่านตระหนักและได้ข้อคิด คนที่อย่างพัฒนาตัวเอง พัฒนาความคิดและรักตัวเองให้เป็นต้องอ่านเล่มนี้เลย✨ #opendurianhowto #opendurianbooks #ปีศาจตัวนั้นคือฉันเอง #หนังสือพัฒนาตัวเอง #books
มิ้น,7602554278019910933,2026-02-03,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),0.0,0,0.0,0.0,📖ตัวอย่างจากหนังสือที่เขียนโดย #คิดมาก #ฉันจะมีชีวิตที่ดี  #opendurianhowto #หนังสือฮีลใจ #books 
มิ้น,7602545401530518805,2026-02-03,หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fighting the Demons in My Heart,0.0,0,0.0,0.0,ส่วนหนึ่งจากหนังสือ 📕 #ปีศาจตัวนั้นคือฉันเอง #opendurianhowto #books  #หนังสือฮีลใจ #จิตวิทยา 
ริว,7602189389006982421,2026-02-02,หนังสือ ยินดีต้อนรับและขอบคุณที่กลับมา,0.0,0,13.32,0.0,✨หนังสือเล่มนี้ไม่ได้น่ารักแค่ปก แต่อ่านแล้วอบอุ่นหัวใจมาก ๆ กับหนังสือเล่มนี้ยินดีต้อนรับแล้วขอบคุณที่กลับมา พอเปิดอ่านแล้วมันให้ความรู้สึกเหมือนได้กลับบ้านอีกครั้ง🫂🏡 #opendurianhowto #OpenDurianBooks #ยินดีต้อนรับและขอบคุณที่กลับมา #หนังสือ #Books
ริว,7602188553635876117,2026-02-02,[พร้อมส่ง] Box set หนังสือถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า (Think Like a Happybara),0.0,0,0.0,0.0,​​📌หนังสือ ถ้าโลกมันแย่ก็แค่คิดแบบคาปิบาร่า เป็นหนังสือแนวฮีลใจ ที่ทำให้เราปรับมุมมองชีวิต ที่หยิบเอา “คาปิบาร่า” สัตว์ที่ขึ้นชื่อว่าใจเย็นที่สุดในโลก มาเป็นตัวแทนของวิธีคิดแบบไม่ฝืน ไม่เร่ง ไม่แบกโลกทั้งใบไว้คนเดียวและชิลกับทุกสถานการณ์🦦 #opendurianhowto #opendurianbooks #ถ้าโลกมันแย่แค่คิดแบบคาปิบาร่า #หนังสือพัฒนาตัวเอง #books 
มิ้น,7601131990951152917,2026-01-30,หนังสือ กว่าจะคิดได้ก็ไม่มีลมหายใจแล้ว (It Is Never Too Late to Love Yourself),0.0,0,0.7,0.0,5 คำเตือน⛔️  ที่ #กว่าจะคิดได้ก็ไม่มีลมหายใจแล้ว  #books #opendurianhowto #หนังสือฮีลใจ #รักตัวเอง 
ริว,7601048590621871380,2026-01-30,ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,0.0,0,0.0,0.0,รักตัวเองทั้งในวันที่เราทำสิ่งต่าง ๆ ได้ดี และอย่าลืมรักตัวเองให้มากกว่าเดิม ในวันที่เราผิดพลาดหรือยังไม่ถึงเป้าหมายด้วย เพราะถึงตัวเราในแบบที่เป็นอยู่วันนี้จะไม่ดีที่สุดในสายตาใคร แต่มันก็เป็น ตัวเรา ที่พยายามอย่างเต็มที่ที่สุดแล้ว 🫂 📕ประโยคจากหนังสือ ปีศาจตัวนั้นคือฉันเอง 2 ที่ทำให้เรากลับมารักตัวเองอีกครั้ง หนังสือเล่มนี้จะพาเรามาค่อย ๆ มาสำรวจหัวใจตัวเอง สำรวจปีศาจที่คอยตำหนิ คอยว่าเราและทำให้เรามองว่าตัวเองดีไม่พอ ✨ #opendurianhowto #opendurianbooks #ปีศาจตัวนั้นคือฉันเอง2 #MAYI #books
มิ้น,7601043157148601621,2026-01-30,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),0.0,0,0.0,0.0,✨คุณเคยโทษตัวเองเรื่องเดิมซ้ำ ๆ  หรือเคยตำหนิตัวเองว่าทำได้ไม่ดีพออยู่บ่อย ๆ หรือเปล่า? ใครที่เป็นแบบนี้อยู่🥺 แนะนำให้อ่านเล่มนี้เลยค่ะ  #กับดักความรู้สึกผิด  #หมอทานตะวัน  #books #หนังสือฮีลใจ #จิตวิทยา 
มิ้น,7601022685572861204,2026-01-30,[ขายดี] หนังสือ GHOSTLY REMAINS ปลดพันธนาการดวงวิญญาณหลังความตาย by หมึกซึม,0.0,0,0.0,0.0,ขอขอบคุณที่ทำให้ “คุณหมึกซึม” ได้รางวัลนี้ด้วยนะคะ ✨ 🥉อันดับที่ 3 ที่สุดของหนังสือสร้างแรงบันดาลใจแห่งปี 📚 🏆 NAIIN READER’S AWARDS 2025  #opendurianhowto #books ##นายอินทร์#ghostlybrews ##หมึกซึม 
มิ้น,7601022685572861204,2026-01-30,หนังสือ Ghostly Brews ยินดีบริการดวงวิญญาณหลังเที่ยงคืน by หมึกซึม,0.0,0,0.0,0.0,ขอขอบคุณที่ทำให้ “คุณหมึกซึม” ได้รางวัลนี้ด้วยนะคะ ✨ 🥉อันดับที่ 3 ที่สุดของหนังสือสร้างแรงบันดาลใจแห่งปี 📚 🏆 NAIIN READER’S AWARDS 2025  #opendurianhowto #books ##นายอินทร์#ghostlybrews ##หมึกซึม 
ริว,7600660106967026964,2026-01-29,โอบกอดความไม่สมบูรณ์แบบของเธอ (Embrace Your Flaws),0.0,0,0.0,0.0,หนังสือแด่คุณ…คนที่ไม่สมบูรณ์แบบ 🫂🤍 #opendurianhowto #OpenDurianBooks #โอบกอดความไม่สมบูรณ์แบบของเธอ #หนังสือ #Books
มิ้น,7600655643262848276,2026-01-29,BOXSET The Witches' Club ชมรมลับเปลี่ยนชีวิต,0.0,0,5.04,0.0,“ความผิดหวัง” เป็นส่วนหนึ่งของชีวิตเราทุกคน แต่เราเลือกได้ว่า  จะจมอยู่กับมันนานแค่ไหน  หรือจะเรียนรู้จากความผิดหวัง  แล้วเปลี่ยนมันให้เป็นสิ่งที่ทำให้เราเติบโต✨ #thewitchesclubชมรมลับเปลี่ยนชีวิต  #opendurianhowto #books #ประโยคเด็ด #ข้อคิดดีดี 
ไม่ระบุ,7600410425720687892,2026-01-28,[ขายดี] หนังสือ GHOSTLY REMAINS ปลดพันธนาการดวงวิญญาณหลังความตาย by หมึกซึม,0.0,0,0.0,0.0,หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fighting the Demons in My Heart
ไม่ระบุ,7600406516277005589,2026-01-28,หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fighting the Demons in My Heart,0.0,0,0.0,0.0,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน)
ไม่ระบุ,7600400527620345106,2026-01-28,ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,0.0,0,48.3,0.0,ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons
ไม่ระบุ,7600397234768809224,2026-01-28,[พร้อมส่ง] Box set หนังสือถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า (Think Like a Happybara),0.0,0,0.0,0.0,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน)
ไม่ระบุ,7600394589194751250,2026-01-28,BOXSET The Witches' Club ชมรมลับเปลี่ยนชีวิต,0.0,0,1.22,0.0,หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fighting the Demons in My Heart
ไม่ระบุ,7600391948683185415,2026-01-28,โอบกอดความไม่สมบูรณ์แบบของเธอ (Embrace Your Flaws),0.0,0,0.0,0.0,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน)
ริว,7600263690708897044,2026-01-28,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),0.0,0,3.81,0.0,สุขภาพจิตพัง เพราะโทษตัวเองซ้ำ ๆ 💔 หลายคนอาจจะไม่รู้ว่าตัวเองเครียด ใครที่ ไม่เคยหยุดตำหนิตัวเอง ใครที่พลาดนิดเดียวก็รู้สึกผิด รู้สึกว่าไม่ดีพอ ความรู้สึกผิดพวกนี้ มันค่อย ๆ กัดกินใจเรา จนสุขภาพจิตแย่ลง โดยที่เราไม่รู้ตัว 🫂 📌หนังสือเล่มนี้ไม่ใช่แค่หนังสือฮีลใจธรรมดาแต่เป็นหนังสือที่ทำให้เราได้ดูแลสุขภาพจิตของเราด้วย เพราะเขียนโดยผู้เชี่ยวชาญด้านจิตเวชศาสตร์ หนังสือ “กับดักความรู้สึกผิด” เพราะบางทีการดูแลสุขภาพจิตเริ่มจากการ เลิกเป็นศัตรูกับตัวเองมาอ่านหนังสือเล่มนี้กันนะ✨ #กับดักความรู้สึกผิด #TheGuiltTrap #หมอทานตะวัน #opendurianhowto #opendurianbooks 
ริว,7600262270546988308,2026-01-28,หนังสือ ฉันจะมีชีวิตที่ดี (นักเขียนนามปากกา คิดมาก),0.0,0,0.0,0.0,ประโยคจากหนังสือ ที่อ่านแล้วเปลี่ยนชีวิต 300 % เขาบอกว่า… #opendurianhowto #OpenDurianBooks #ฉันจะมีชีวิตที่ดี #หนังสือ #Books
มิ้น,7599995668249234709,2026-01-27,ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,0.0,0,0.0,0.0,✨ประโยคที่โคตรจริงจากหนังสือ📕 #ปีศาจตัวนั้นคือตัวฉันเอง2  #opendurianhowto #books #หนังสือฮีลใจ #จิตวิทยา 
ริว,7599984633639390484,2026-01-27,หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fighting the Demons in My Heart,0.0,0,0.01,0.0,โลกไม่ได้ทำร้ายคุณเท่าที่คุณทำกับตัวเองทุกวัน…🫂 #opendurianhowto #opendurianbooks #ปีศาจตัวนั้นคือฉันเอง #หนังสือพัฒนาตัวเอง #books
มิ้น,7599933632827936021,2026-01-27,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),0.0,0,0.0,0.0,✨แนะนำหนังสือเล่มใหม่‼️ อ่านแล้วเหมือนมีหมอเป็นเพื่อนฮีลใจ  #กับดักความรู้สึกผิด #หมอทานตะวัน  #จิตวิทยา #opendurianhowto  #books 
มิ้น,7599664233755708692,2026-01-26,ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,0.0,0,0.0,0.0,ประโยคดี ๆ จากหนังสือ 📕 #ปีศาจตัวนั้นคือฉันเอง2  #opendurianhowto #opendurianbooks #หนังสือฮีลใจ #books 
ริว,7599613069274205460,2026-01-26,หนังสือ Ghostly Brews ยินดีบริการดวงวิญญาณหลังเที่ยงคืน by หมึกซึม,0.0,0,8.04,0.0,รีสต็อกแล้วแค่ 50 เล่มเท่านั้น‼️ กับหนังสือการ์ตูนฮีลใจเข้าชิงรางวัลแห่งปี Ghostly Brews หนังสือการ์ตูนคอมิกขาวดำจากคุณหมึกซึม ที่จะมาเรียกน้ำตาผู้อ่านและทำให้เราเห็นความสำคัญของเวลาและรักตัวเองมากขึ้นแบบ 3000 % #opendurianhowto #OpenDurianBooks #GhostlyBrews #หมึกซึม #books
ริว,7599611879341804820,2026-01-26,[ขายดี] หนังสือ GHOSTLY REMAINS ปลดพันธนาการดวงวิญญาณหลังความตาย by หมึกซึม,0.0,0,0.0,0.0,✒️ ภาคต่อหนังสือการ์ตูนฮีลใจ Ghostly Remains จากคุณหมึกซึม หนังสือการ์ตูนฮีลใจเล่มใหม่ ที่จะพาเราค่อย ๆ ปล่อยวาง “ความคาดหวัง” ที่อาจกำลังทำร้ายทั้งตัวเองและคนที่เรารัก #opendurianhowto #OpenDurianBooks #GhostlyRemains #หมึกซึม #Books
ริว,7598777151990582536,2026-01-24,หนังสือ เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้ by MAY-I (เม-ไอ),0.0,0,0.0,0.0,ประโยคที่อ่านแล้วหายเหนื่อย… #opendurianbooks #opendurianhowto #เหนื่อยมากไหมพักก่อนก็ได้นะวันนี้ #เธรดความรู้สึก #เธรดเศร้า
ริว,7598503085283052808,2026-01-23,หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fighting the Demons in My Heart,0.0,0,0.0,0.0,ประโยคที่อ่านแล้วโคตรจริง…‼️🥹 #opendurianhowto #opendurianbooks #ปีศาจตัวนั้นคือฉันเอง #หนังสือพัฒนาตัวเอง #books
มิ้น,7598444470434073877,2026-01-23,หนังสือ กับดักความรู้สึกผิด (เขียนโดย หมอทานตะวัน),0.0,0,0.0,0.0,PAYDAY นี้‼️ ฮีลใจแจกคูปอง✨ ลดสูงสุด 50% ทั้งร้าน 📚 มีส่งฟรีด้วยน้าาา 💖 #opendurianhowto #booktok #books #paydaysale #หนังสือใหม่  
มิ้น,7598444470434073877,2026-01-23,[ขายดี] หนังสือ GHOSTLY REMAINS ปลดพันธนาการดวงวิญญาณหลังความตาย by หมึกซึม,0.0,0,0.3,0.0,PAYDAY นี้‼️ ฮีลใจแจกคูปอง✨ ลดสูงสุด 50% ทั้งร้าน 📚 มีส่งฟรีด้วยน้าาา 💖 #opendurianhowto #booktok #books #paydaysale #หนังสือใหม่  
มิ้น,7598444470434073877,2026-01-23,ปีศาจตัวนั้น คือฉันเอง 2 A Guide to Overcoming the Return of the Demons,0.0,0,0.0,0.0,PAYDAY นี้‼️ ฮีลใจแจกคูปอง✨ ลดสูงสุด 50% ทั้งร้าน 📚 มีส่งฟรีด้วยน้าาา 💖 #opendurianhowto #booktok #books #paydaysale #หนังสือใหม่  
มิ้น,7598444470434073877,2026-01-23,BOXSET The Witches' Club ชมรมลับเปลี่ยนชีวิต,0.0,0,0.0,0.0,PAYDAY นี้‼️ ฮีลใจแจกคูปอง✨ ลดสูงสุด 50% ทั้งร้าน 📚 มีส่งฟรีด้วยน้าาา 💖 #opendurianhowto #booktok #books #paydaysale #หนังสือใหม่  
มิ้น,7598444470434073877,2026-01-23,หนังสือ ปีศาจตัวนั้น คือฉันเอง A Guide to Fighting the Demons in My Heart,0.0,0,0.0,0.0,PAYDAY นี้‼️ ฮีลใจแจกคูปอง✨ ลดสูงสุด 50% ทั้งร้าน 📚 มีส่งฟรีด้วยน้าาา 💖 #opendurianhowto #booktok #books #paydaysale #หนังสือใหม่  
มิ้น,7598444470434073877,2026-01-23,หนังสือ ขอใช้ชีวิตที่เหลือ เพื่อตัวเองนะ,0.0,0,1.89,0.0,PAYDAY นี้‼️ ฮีลใจแจกคูปอง✨ ลดสูงสุด 50% ทั้งร้าน 📚 มีส่งฟรีด้วยน้าาา 💖 #opendurianhowto #booktok #books #paydaysale #หนังสือใหม่  
มิ้น,7598444470434073877,2026-01-23,หนังสือ ความลับสู่เงินล้านที่โรงเรียนไม่เคยสอน (The Millionaire's Top Secret),0.0,0,0.15,0.0,PAYDAY นี้‼️ ฮีลใจแจกคูปอง✨ ลดสูงสุด 50% ทั้งร้าน 📚 มีส่งฟรีด้วยน้าาา 💖 #opendurianhowto #booktok #books #paydaysale #หนังสือใหม่  
มิ้น,7598444470434073877,2026-01-23,หนังสือ Ghostly Brews ยินดีบริการดวงวิญญาณหลังเที่ยงคืน by หมึกซึม,0.0,0,0.38,0.0,PAYDAY นี้‼️ ฮีลใจแจกคูปอง✨ ลดสูงสุด 50% ทั้งร้าน 📚 มีส่งฟรีด้วยน้าาา 💖 #opendurianhowto #booktok #books #paydaysale #หนังสือใหม่  
มิ้น,7598444470434073877,2026-01-23,โอบกอดความไม่สมบูรณ์แบบของเธอ (Embrace Your Flaws),0.0,0,0.0,0.0,PAYDAY นี้‼️ ฮีลใจแจกคูปอง✨ ลดสูงสุด 50% ทั้งร้าน 📚 มีส่งฟรีด้วยน้าาา 💖 #opendurianhowto #booktok #books #paydaysale #หนังสือใหม่  
